"Rank","State","Estimate.2dec","SE.2dec","Abbreviation","Region","FIPS"
1,"South Dakota",16.86,0.28,"SD","MIDWEST",46
2,"North Dakota",16.91,0.36,"ND","MIDWEST",38
3,"Nebraska",18.06,0.19,"NE","MIDWEST",31
4,"Wyoming",18.1,0.5,"WY","WEST",56
5,"Montana",18.18,0.32,"MT","WEST",30
6,"Alaska",18.39,0.33,"AK","PACIFIC",2
7,"Iowa",18.77,0.13,"IA","MIDWEST",19
8,"Kansas",18.9,0.16,"KS","MIDWEST",20
9,"Idaho",19.66,0.24,"ID","WEST",16
10,"Oklahoma",21.13,0.15,"OK","SOUTH",40
11,"Arkansas",21.31,0.23,"AR","SOUTH",5
12,"New Mexico",21.43,0.27,"NM","WEST",35
13,"Utah",21.61,0.2,"UT","WEST",49
14,"Wisconsin",21.92,0.11,"WI","MIDWEST",55
15,"Vermont",21.94,0.31,"VT","NORTHEAST",50
16,"Oregon",22.54,0.16,"OR","WEST",41
17,"Kentucky",22.86,0.15,"KY","SOUTH",21
18,"Minnesota",22.99,0.1,"MN","MIDWEST",27
19,"Missouri",23.07,0.13,"MO","MIDWEST",29
20,"Ohio",23.12,0.09,"OH","MIDWEST",39
21,"Rhode Island",23.36,0.29,"RI","NORTHEAST",44
22,"North Carolina",23.37,0.12,"NC","SOUTH",37
23,"Maine",23.41,0.25,"ME","NORTHEAST",23
24,"Indiana",23.45,0.11,"IN","MIDWEST",18
25,"South Carolina",23.61,0.16,"SC","SOUTH",45
26,"Mississippi",23.86,0.24,"MS","SOUTH",28
27,"Alabama",23.94,0.14,"AL","SOUTH",1
28,"Nevada",24.1,0.27,"NV","WEST",32
29,"Michigan",24.11,0.1,"MI","MIDWEST",26
30,"Tennessee",24.23,0.14,"TN","SOUTH",47
31,"Colorado",24.51,0.19,"CO","WEST",8
32,"Louisiana",24.54,0.15,"LA","SOUTH",22
33,"Arizona",24.76,0.15,"AZ","WEST",4
34,"Texas",24.82,0.07,"TX","SOUTH",48
35,"Connecticut",24.98,0.19,"CT","NORTHEAST",9
36,"Delaware",25.3,0.37,"DE","SOUTH",10
37,"Washington",25.51,0.14,"WA","WEST",53
NA,"United States",25.51,0.02,"USA","",0
38,"West Virginia",25.58,0.31,"WV","SOUTH",54
39,"Hawaii",25.69,0.27,"HI","PACIFIC",15
40,"Florida",25.76,0.11,"FL","SOUTH",12
41,"Pennsylvania",25.92,0.09,"PA","NORTHEAST",42
42,"New Hampshire",26.9,0.3,"NH","NORTHEAST",33
43,"Georgia",27.11,0.17,"GA","SOUTH",13
44,"California",27.14,0.07,"CA","WEST",6
45,"Virginia",27.74,0.13,"VA","SOUTH",51
46,"Massachusetts",27.99,0.13,"MA","NORTHEAST",25
47,"Illinois",28.17,0.11,"IL","MIDWEST",17
48,"District of Columbia",30.1,0.32,"DC","SOUTH",11
49,"New Jersey",30.53,0.12,"NJ","NORTHEAST",34
50,"New York",31.5,0.09,"NY","NORTHEAST",36
51,"Maryland",32.21,0.15,"MD","SOUTH",24
